Process Log - Created at 2025-03-19 21:40:07.464154

=== Process List at 2025-03-19 21:40:07.464487 ===
PID: 0, Name: System Idle Process, Path: None
PID: 4, Name: System, Path: 
PID: 188, Name: , Path: 
PID: 232, Name: Registry, Path: Registry
PID: 420, Name: vmwp.exe, Path: C:\Windows\System32\vmwp.exe
PID: 652, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 752, Name: smss.exe, Path: C:\Windows\System32\smss.exe
PID: 896, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 952, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1052, Name: csrss.exe, Path: C:\Windows\System32\csrss.exe
PID: 1144, Name: wininit.exe, Path: C:\Windows\System32\wininit.exe
PID: 1152, Name: csrss.exe, Path: C:\Windows\System32\csrss.exe
PID: 1244, Name: winlogon.exe, Path: C:\Windows\System32\winlogon.exe
PID: 1264, Name: services.exe, Path: C:\Windows\System32\services.exe
PID: 1308, Name: LsaIso.exe, Path: C:\Windows\System32\LsaIso.exe
PID: 1316, Name: lsass.exe, Path: C:\Windows\System32\lsass.exe
PID: 1424, Name: OpenConsole.exe, Path: C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.3231.0_x64__8wekyb3d8bbwe\OpenConsole.exe
PID: 1456, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1484, Name: fontdrvhost.exe, Path: C:\Windows\System32\fontdrvhost.exe
PID: 1492, Name: fontdrvhost.exe, Path: C:\Windows\System32\fontdrvhost.exe
PID: 1568, Name: WUDFHost.exe, Path: C:\Windows\System32\WUDFHost.exe
PID: 1620, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1628, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1672, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1720, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1760, Name: dwm.exe, Path: C:\Windows\System32\dwm.exe
PID: 1840, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1864, Name: msedgewebview2.exe, Path: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\133.0.3065.92\msedgewebview2.exe
PID: 1868, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1908, Name: LsaToast.exe, Path: C:\Program Files\Lenovo\Lenovo Smart Appearance Components\Components\IntelligentSensingAwareService\LsaToast.exe
PID: 1924, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1932, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 1980, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2028, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2040, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2060, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2112, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2220, Name: msedge.exe, Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID: 2236, Name: IntelCpHDCPSvc.exe, Path: C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_e4d26f3065893cad\IntelCpHDCPSvc.exe
PID: 2296, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2308, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2336, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2440, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2456, Name: WUDFHost.exe, Path: C:\Windows\System32\WUDFHost.exe
PID: 2608, Name: ShellHost.exe, Path: C:\Windows\System32\ShellHost.exe
PID: 2672, Name: vmmemWSL, Path: vmmemWSL
PID: 2792, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2868, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 2916, Name: WUDFHost.exe, Path: C:\Windows\System32\WUDFHost.exe
PID: 3124, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3168, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3188, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3196, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3240, Name: WUDFHost.exe, Path: C:\Windows\System32\WUDFHost.exe
PID: 3268, Name: msedge.exe, Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID: 3352, Name: MemCompression, Path: MemCompression
PID: 3384, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3456, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3480, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3488, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3572, Name: WUDFHost.exe, Path: C:\Windows\System32\WUDFHost.exe
PID: 3632, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
PID: 3648, Name: svchost.exe, Path: C:\Windows\System32\svchost.exe
